lesson,l1_id,l1_en,l2_id,l2_en,l3_id,l3_en,count
424,435023,Dance,783324,Flyer Distribution,435023,Dance,1582
425,435023,Dance,783324,Flyer Distribution,572712,Voice Training,1560
426,435023,Dance,783324,Flyer Distribution,387018,Push-ups,1471
427,435023,Dance,783324,Flyer Distribution,678291,Stretching,1601
428,435023,Dance,783324,Flyer Distribution,166110,Swimming,1400
431,435023,Dance,641538,Meditation,636553,Running,1503
432,435023,Dance,641538,Meditation,783324,Flyer Distribution,1647
433,435023,Dance,641538,Meditation,641538,Meditation,1444
434,435023,Dance,641538,Meditation,435023,Dance,1590
435,435023,Dance,641538,Meditation,572712,Voice Training,1515
436,435023,Dance,641538,Meditation,387018,Push-ups,1501
437,435023,Dance,641538,Meditation,678291,Stretching,1597
438,435023,Dance,641538,Meditation,166110,Swimming,1473
441,435023,Dance,435023,Dance,636553,Running,1584
442,435023,Dance,435023,Dance,783324,Flyer Distribution,1578
443,435023,Dance,435023,Dance,641538,Meditation,1473
444,435023,Dance,435023,Dance,435023,Dance,17443
445,435023,Dance,435023,Dance,572712,Voice Training,11717
446,435023,Dance,435023,Dance,387018,Push-ups,11368
447,435023,Dance,435023,Dance,678291,Stretching,1644
448,435023,Dance,435023,Dance,166110,Swimming,1704
451,435023,Dance,572712,Voice Training,636553,Running,1601
452,435023,Dance,572712,Voice Training,783324,Flyer Distribution,1490
453,435023,Dance,572712,Voice Training,641538,Meditation,1624
454,435023,Dance,572712,Voice Training,435023,Dance,1629
455,435023,Dance,572712,Voice Training,572712,Voice Training,11117
456,435023,Dance,572712,Voice Training,387018,Push-ups,1746
457,435023,Dance,572712,Voice Training,678291,Stretching,1817
458,435023,Dance,572712,Voice Training,166110,Swimming,1734
461,435023,Dance,387018,Push-ups,636553,Running,1456
462,435023,Dance,387018,Push-ups,783324,Flyer Distribution,1617
463,435023,Dance,387018,Push-ups,641538,Meditation,1605
464,435023,Dance,387018,Push-ups,435023,Dance,1473
465,435023,Dance,387018,Push-ups,572712,Voice Training,1542
466,435023,Dance,387018,Push-ups,387018,Push-ups,1730
467,435023,Dance,387018,Push-ups,678291,Stretching,1599
468,435023,Dance,387018,Push-ups,166110,Swimming,1814
471,435023,Dance,678291,Stretching,636553,Running,1506
472,435023,Dance,678291,Stretching,783324,Flyer Distribution,1542
473,435023,Dance,678291,Stretching,641538,Meditation,1698
474,435023,Dance,678291,Stretching,435023,Dance,1514
475,435023,Dance,678291,Stretching,572712,Voice Training,1581
476,435023,Dance,678291,Stretching,387018,Push-ups,1485
477,435023,Dance,678291,Stretching,678291,Stretching,11446
478,435023,Dance,678291,Stretching,166110,Swimming,1788
481,435023,Dance,166110,Swimming,636553,Running,1488
482,435023,Dance,166110,Swimming,783324,Flyer Distribution,1433
483,435023,Dance,166110,Swimming,641538,Meditation,1494
484,435023,Dance,166110,Swimming,435023,Dance,1644
485,435023,Dance,166110,Swimming,572712,Voice Training,1535
486,435023,Dance,166110,Swimming,387018,Push-ups,1638
487,435023,Dance,166110,Swimming,678291,Stretching,1539
488,435023,Dance,166110,Swimming,166110,Swimming,1587
511,572712,Voice Training,636553,Running,636553,Running,1665
512,572712,Voice Training,636553,Running,783324,Flyer Distribution,1522
513,572712,Voice Training,636553,Running,641538,Meditation,1626
514,572712,Voice Training,636553,Running,435023,Dance,1617
515,572712,Voice Training,636553,Running,572712,Voice Training,1572
516,572712,Voice Training,636553,Running,387018,Push-ups,1602
517,572712,Voice Training,636553,Running,678291,Stretching,1611
518,572712,Voice Training,636553,Running,166110,Swimming,1527
521,572712,Voice Training,783324,Flyer Distribution,636553,Running,1440
522,572712,Voice Training,783324,Flyer Distribution,783324,Flyer Distribution,1471
523,572712,Voice Training,783324,Flyer Distribution,641538,Meditation,1710
524,572712,Voice Training,783324,Flyer Distribution,435023,Dance,1527
525,572712,Voice Training,783324,Flyer Distribution,572712,Voice Training,1478
526,572712,Voice Training,783324,Flyer Distribution,387018,Push-ups,1611
527,572712,Voice Training,783324,Flyer Distribution,678291,Stretching,1500
528,572712,Voice Training,783324,Flyer Distribution,166110,Swimming,1650
531,572712,Voice Training,641538,Meditation,636553,Running,1557
532,572712,Voice Training,641538,Meditation,783324,Flyer Distribution,1467
533,572712,Voice Training,641538,Meditation,641538,Meditation,1380
534,572712,Voice Training,641538,Meditation,435023,Dance,1506
535,572712,Voice Training,641538,Meditation,572712,Voice Training,1614
536,572712,Voice Training,641538,Meditation,387018,Push-ups,1521
537,572712,Voice Training,641538,Meditation,678291,Stretching,1383
538,572712,Voice Training,641538,Meditation,166110,Swimming,1539
541,572712,Voice Training,435023,Dance,636553,Running,1587
542,572712,Voice Training,435023,Dance,783324,Flyer Distribution,1607
543,572712,Voice Training,435023,Dance,641538,Meditation,1530
544,572712,Voice Training,435023,Dance,435023,Dance,1578
545,572712,Voice Training,435023,Dance,572712,Voice Training,1587
546,572712,Voice Training,435023,Dance,387018,Push-ups,1594
547,572712,Voice Training,435023,Dance,678291,Stretching,1632
548,572712,Voice Training,435023,Dance,166110,Swimming,1548
551,572712,Voice Training,572712,Voice Training,636553,Running,1514
552,572712,Voice Training,572712,Voice Training,783324,Flyer Distribution,1485
553,572712,Voice Training,572712,Voice Training,641538,Meditation,1549
554,572712,Voice Training,572712,Voice Training,435023,Dance,1545
555,572712,Voice Training,572712,Voice Training,572712,Voice Training,16756
556,572712,Voice Training,572712,Voice Training,387018,Push-ups,1572
557,572712,Voice Training,572712,Voice Training,678291,Stretching,11733
558,572712,Voice Training,572712,Voice Training,166110,Swimming,1492
561,572712,Voice Training,387018,Push-ups,636553,Running,1629
562,572712,Voice Training,387018,Push-ups,783324,Flyer Distribution,1661
563,572712,Voice Training,387018,Push-ups,641538,Meditation,1551
564,572712,Voice Training,387018,Push-ups,435023,Dance,1596
565,572712,Voice Training,387018,Push-ups,572712,Voice Training,1542
566,572712,Voice Training,387018,Push-ups,387018,Push-ups,1659
567,572712,Voice Training,387018,Push-ups,678291,Stretching,1693
568,572712,Voice Training,387018,Push-ups,166110,Swimming,1719
571,572712,Voice Training,678291,Stretching,636553,Running,1450
572,572712,Voice Training,678291,Stretching,783324,Flyer Distribution,1629
573,572712,Voice Training,678291,Stretching,641538,Meditation,1719
574,572712,Voice Training,678291,Stretching,435023,Dance,1534
575,572712,Voice Training,678291,Stretching,572712,Voice Training,1701
576,572712,Voice Training,678291,Stretching,387018,Push-ups,1472
577,572712,Voice Training,678291,Stretching,678291,Stretching,1653
578,572712,Voice Training,678291,Stretching,166110,Swimming,1737
581,572712,Voice Training,166110,Swimming,636553,Running,1646
582,572712,Voice Training,166110,Swimming,783324,Flyer Distribution,1578
583,572712,Voice Training,166110,Swimming,641538,Meditation,1533
584,572712,Voice Training,166110,Swimming,435023,Dance,1632
585,572712,Voice Training,166110,Swimming,572712,Voice Training,1521
586,572712,Voice Training,166110,Swimming,387018,Push-ups,1545
587,572712,Voice Training,166110,Swimming,678291,Stretching,1521
588,572712,Voice Training,166110,Swimming,166110,Swimming,11337
611,387018,Push-ups,636553,Running,636553,Running,1481
612,387018,Push-ups,636553,Running,783324,Flyer Distribution,1630
613,387018,Push-ups,636553,Running,641538,Meditation,1569
614,387018,Push-ups,636553,Running,435023,Dance,1533
615,387018,Push-ups,636553,Running,572712,Voice Training,1569
616,387018,Push-ups,636553,Running,387018,Push-ups,1474
617,387018,Push-ups,636553,Running,678291,Stretching,1551
618,387018,Push-ups,636553,Running,166110,Swimming,1680
621,387018,Push-ups,783324,Flyer Distribution,636553,Running,1641
622,387018,Push-ups,783324,Flyer Distribution,783324,Flyer Distribution,1514
623,387018,Push-ups,783324,Flyer Distribution,641538,Meditation,1592
624,387018,Push-ups,783324,Flyer Distribution,435023,Dance,1638
625,387018,Push-ups,783324,Flyer Distribution,572712,Voice Training,1590
626,387018,Push-ups,783324,Flyer Distribution,387018,Push-ups,1487
627,387018,Push-ups,783324,Flyer Distribution,678291,Stretching,1608
628,387018,Push-ups,783324,Flyer Distribution,166110,Swimming,1496
631,387018,Push-ups,641538,Meditation,636553,Running,1557
632,387018,Push-ups,641538,Meditation,783324,Flyer Distribution,1713
633,387018,Push-ups,641538,Meditation,641538,Meditation,1594
634,387018,Push-ups,641538,Meditation,435023,Dance,1464
635,387018,Push-ups,641538,Meditation,572712,Voice Training,1680
636,387018,Push-ups,641538,Meditation,387018,Push-ups,1515
637,387018,Push-ups,641538,Meditation,678291,Stretching,1437
638,387018,Push-ups,641538,Meditation,166110,Swimming,1571
641,387018,Push-ups,435023,Dance,636553,Running,1539
642,387018,Push-ups,435023,Dance,783324,Flyer Distribution,1644
643,387018,Push-ups,435023,Dance,641538,Meditation,1551
644,387018,Push-ups,435023,Dance,435023,Dance,1609
645,387018,Push-ups,435023,Dance,572712,Voice Training,1566
646,387018,Push-ups,435023,Dance,387018,Push-ups,1587
647,387018,Push-ups,435023,Dance,678291,Stretching,1514
648,387018,Push-ups,435023,Dance,166110,Swimming,1706
651,387018,Push-ups,572712,Voice Training,636553,Running,1521
652,387018,Push-ups,572712,Voice Training,783324,Flyer Distribution,1494
653,387018,Push-ups,572712,Voice Training,641538,Meditation,1548
654,387018,Push-ups,572712,Voice Training,435023,Dance,1476
655,387018,Push-ups,572712,Voice Training,572712,Voice Training,1519
656,387018,Push-ups,572712,Voice Training,387018,Push-ups,1582
657,387018,Push-ups,572712,Voice Training,678291,Stretching,1545
